License Year, Hunting District,Deer Species,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bucks,Does,Fawns,Bow,Rifle,Less than 4 Points, 4 or More Points
2020,282,md,SUM,0,0,0,7,7,0,0,0,7,3,3
2020,282,wt,N,0,0,0,0,0,0,0,0,0,0,0
2020,282,wt,R,0,0,0,50,37,13,0,14,36,20,13
2020,282,wt,SUM,0,0,0,50,37,13,0,14,36,20,13
2020,283,all_deer,N,0,0,0,9,9,0,0,0,9,0,9
2020,283,all_deer,R,0,0,0,298,223,71,3,38,260,71,152
2020,283,all_deer,SUM,0,0,0,306,232,71,3,38,268,71,160
2020,283,md,N,0,0,0,0,0,0,0,0,0,0,0
2020,283,md,R,0,0,0,31,31,0,0,0,31,3,27
2020,283,md,SUM,0,0,0,31,31,0,0,0,31,3,27
2020,283,wt,N,0,0,0,9,9,0,0,0,9,0,9
2020,283,wt,R,0,0,0,267,192,71,3,38,229,68,125
2020,283,wt,SUM,0,0,0,276,201,71,3,38,238,68,133
2020,284,all_deer,N,0,0,0,3,3,0,0,0,3,0,3
2020,284,all_deer,R,0,0,0,19,19,0,0,7,13,13,7
2020,284,all_deer,SUM,0,0,0,22,22,0,0,7,16,13,10
2020,284,md,N,0,0,0,3,3,0,0,0,3,0,3
2020,284,md,R,0,0,0,3,3,0,0,0,3,3,0
2020,284,md,SUM,0,0,0,5,5,0,0,0,5,3,3
2020,284,wt,N,0,0,0,0,0,0,0,0,0,0,0
2020,284,wt,R,0,0,0,17,17,0,0,7,10,10,7
2020,284,wt,SUM,0,0,0,17,17,0,0,7,10,10,7
2020,285,all_deer,N,0,0,0,23,23,0,0,0,23,9,15
2020,285,all_deer,R,0,0,0,544,468,76,0,14,530,227,241
2020,285,all_deer,SUM,0,0,0,567,491,76,0,14,553,236,255
2020,285,md,N,0,0,0,6,6,0,0,0,6,3,3
2020,285,md,R,0,0,0,34,34,0,0,0,34,10,24
2020,285,md,SUM,0,0,0,40,40,0,0,0,40,13,27
2020,285,wt,N,0,0,0,18,18,0,0,0,18,6,12
2020,285,wt,R,0,0,0,510,434,76,0,14,496,217,217
2020,285,wt,SUM,0,0,0,528,452,76,0,14,513,223,229
2020,290,all_deer,N,0,0,0,5,5,0,0,0,5,3,2
2020,290,all_deer,R,0,0,0,112,78,34,0,61,52,14,64
2020,290,all_deer,SUM,0,0,0,117,83,34,0,61,56,17,66
2020,290,md,N,0,0,0,5,5,0,0,0,5,3,2
2020,290,md,R,0,0,0,12,12,0,0,9,3,5,7
2020,290,md,SUM,0,0,0,17,17,0,0,9,8,8,8
2020,290,wt,N,0,0,0,0,0,0,0,0,0,0,0
2020,290,wt,R,0,0,0,100,66,34,0,52,48,9,57
2020,290,wt,SUM,0,0,0,100,66,34,0,52,48,9,57
2020,291,all_deer,N,0,0,0,0,0,0,0,0,0,0,0
2020,291,all_deer,R,0,0,0,104,73,31,0,5,98,19,54
2020,291,all_deer,SUM,0,0,0,104,73,31,0,5,98,19,54
2020,291,md,N,0,0,0,0,0,0,0,0,0,0,0
2020,291,md,R,0,0,0,50,34,17,0,4,47,2,32
2020,291,md,SUM,0,0,0,50,34,17,0,4,47,2,32
2020,291,wt,N,0,0,0,0,0,0,0,0,0,0,0
2020,291,wt,R,0,0,0,53,39,14,0,2,52,17,22
2020,291,wt,SUM,0,0,0,53,39,14,0,2,52,17,22
2020,292,all_deer,N,0,0,0,8,8,0,0,0,8,2,6
2020,292,all_deer,R,0,0,0,457,393,61,3,18,439,207,186
2020,292,all_deer,SUM,0,0,0,465,401,61,3,18,447,209,192
2020,292,md,N,0,0,0,3,3,0,0,0,3,0,3
2020,292,md,R,0,0,0,120,120,0,0,4,116,65,54
2020,292,md,SUM,0,0,0,123,123,0,0,4,119,65,58
2020,292,wt,N,0,0,0,5,5,0,0,0,5,2,3
2020,292,wt,R,0,0,0,337,273,61,3,14,324,142,132
2020,292,wt,SUM,0,0,0,342,278,61,3,14,328,143,135
